StateId,State,MunicipalityId,Municipality,Year,Month,Hombre,Mujer,No especificado,Total
01,Aguascalientes,001,Aguascalientes,2022,Enero,4,0,0,4
01,Aguascalientes,001,Aguascalientes,2022,Febrero,5,1,0,6
01,Aguascalientes,001,Aguascalientes,2022,Marzo,3,1,0,4
01,Aguascalientes,001,Aguascalientes,2022,Mayo,1,0,0,1
01,Aguascalientes,001,Aguascalientes,2022,Junio,7,1,0,8
01,Aguascalientes,001,Aguascalientes,2022,Julio,1,0,0,1
01,Aguascalientes,001,Aguascalientes,2022,Agosto,4,0,0,4
01,Aguascalientes,001,Aguascalientes,2022,Septiembre,5,2,0,7
01,Aguascalientes,001,Aguascalientes,2022,Octubre,2,0,0,2
01,Aguascalientes,001,Aguascalientes,2022,Noviembre,3,0,0,3
01,Aguascalientes,001,Aguascalientes,2022,Diciembre,2,0,0,2
01,Aguascalientes,002,Asientos,2022,Enero,1,0,0,1
01,Aguascalientes,002,Asientos,2022,Diciembre,1,0,0,1
01,Aguascalientes,003,Calvillo,2022,Mayo,3,0,0,3
01,Aguascalientes,003,Calvillo,2022,Julio,3,0,0,3
01,Aguascalientes,003,Calvillo,2022,Agosto,2,1,0,3
01,Aguascalientes,003,Calvillo,2022,Octubre,1,0,0,1
01,Aguascalientes,003,Calvillo,2022,Noviembre,0,1,0,1
01,Aguascalientes,004,Cosío,2022,Marzo,1,0,0,1
01,Aguascalientes,004,Cosío,2022,Mayo,1,0,0,1
01,Aguascalientes,005,Jesús María,2022,Enero,1,1,0,2
01,Aguascalientes,005,Jesús María,2022,Abril,1,0,0,1
01,Aguascalientes,005,Jesús María,2022,Julio,2,0,0,2
01,Aguascalientes,005,Jesús María,2022,Diciembre,3,0,0,3
01,Aguascalientes,006,Pabellón de Arteaga,2022,Marzo,1,0,0,1
01,Aguascalientes,006,Pabellón de Arteaga,2022,Octubre,1,1,0,2
01,Aguascalientes,007,Rincón de Romos,2022,Febrero,0,1,0,1
01,Aguascalientes,007,Rincón de Romos,2022,Abril,1,0,0,1
01,Aguascalientes,007,Rincón de Romos,2022,Julio,1,0,0,1
01,Aguascalientes,007,Rincón de Romos,2022,Septiembre,1,0,0,1
01,Aguascalientes,008,San José de Gracia,2022,Agosto,2,0,0,2
01,Aguascalientes,009,Tepezalá,2022,Julio,1,0,0,1
01,Aguascalientes,009,Tepezalá,2022,Octubre,2,0,0,2
01,Aguascalientes,010,El Llano,2022,Noviembre,3,0,0,3
01,Aguascalientes,011,San Francisco de los Romo,2022,Octubre,1,2,0,3
02,Baja California,001,Ensenada,2020,Julio,1,0,0,1
02,Baja California,001,Ensenada,2020,Septiembre,1,0,0,1
02,Baja California,001,Ensenada,2020,Octubre,0,1,0,1
02,Baja California,001,Ensenada,2020,Noviembre,1,0,0,1
02,Baja California,001,Ensenada,2021,Abril,1,0,0,1
02,Baja California,001,Ensenada,2021,Mayo,2,0,0,2
02,Baja California,001,Ensenada,2021,Agosto,2,1,0,3
02,Baja California,001,Ensenada,2021,Septiembre,5,0,0,5
02,Baja California,001,Ensenada,2021,Octubre,1,0,0,1
02,Baja California,001,Ensenada,2021,Noviembre,3,0,0,3
02,Baja California,001,Ensenada,2021,Diciembre,1,0,0,1
02,Baja California,001,Ensenada,2022,Enero,16,2,0,18
02,Baja California,001,Ensenada,2022,Febrero,13,2,0,15
02,Baja California,001,Ensenada,2022,Marzo,12,2,0,14
02,Baja California,001,Ensenada,2022,Abril,8,5,0,13
02,Baja California,001,Ensenada,2022,Mayo,13,1,0,14
02,Baja California,001,Ensenada,2022,Junio,10,2,0,12
02,Baja California,001,Ensenada,2022,Julio,19,3,0,22
02,Baja California,001,Ensenada,2022,Agosto,12,2,0,14
02,Baja California,001,Ensenada,2022,Septiembre,5,0,0,5
02,Baja California,001,Ensenada,2022,Octubre,6,0,0,6
02,Baja California,001,Ensenada,2022,Noviembre,3,1,0,4
02,Baja California,001,Ensenada,2022,Diciembre,6,1,0,7
02,Baja California,002,Mexicali,2022,Enero,21,4,0,25
02,Baja California,002,Mexicali,2022,Febrero,17,0,0,17
02,Baja California,002,Mexicali,2022,Marzo,8,2,0,10
02,Baja California,002,Mexicali,2022,Abril,17,2,0,19
02,Baja California,002,Mexicali,2022,Mayo,17,2,0,19
02,Baja California,002,Mexicali,2022,Junio,22,1,0,23
02,Baja California,002,Mexicali,2022,Julio,16,0,0,16
02,Baja California,002,Mexicali,2022,Agosto,8,0,0,8
02,Baja California,002,Mexicali,2022,Septiembre,15,2,0,17
02,Baja California,002,Mexicali,2022,Octubre,12,0,0,12
02,Baja California,002,Mexicali,2022,Noviembre,7,0,0,7
02,Baja California,002,Mexicali,2022,Diciembre,27,2,0,29
02,Baja California,003,Tecate,2021,Febrero,1,0,0,1
02,Baja California,003,Tecate,2021,Julio,2,0,0,2
02,Baja California,003,Tecate,2021,Septiembre,2,0,0,2
02,Baja California,003,Tecate,2021,Noviembre,2,0,0,2
02,Baja California,003,Tecate,2021,Diciembre,4,1,0,5
02,Baja California,003,Tecate,2022,Enero,6,0,1,7
02,Baja California,003,Tecate,2022,Febrero,2,0,0,2
02,Baja California,003,Tecate,2022,Marzo,10,0,0,10
02,Baja California,003,Tecate,2022,Abril,3,0,1,4
02,Baja California,003,Tecate,2022,Mayo,16,0,0,16
02,Baja California,003,Tecate,2022,Junio,3,2,0,5
02,Baja California,003,Tecate,2022,Julio,9,0,0,9
02,Baja California,003,Tecate,2022,Agosto,4,2,0,6
02,Baja California,003,Tecate,2022,Septiembre,5,2,0,7
02,Baja California,003,Tecate,2022,Octubre,9,3,0,12
02,Baja California,003,Tecate,2022,Noviembre,8,0,0,8
02,Baja California,003,Tecate,2022,Diciembre,4,0,0,4
02,Baja California,003,Tecate,2022,No especificado,2,0,0,2
02,Baja California,003,Tecate,No especificado,No especificado,2,0,1,3
02,Baja California,004,Tijuana,2019,Agosto,0,1,3,4
02,Baja California,004,Tijuana,2020,Mayo,2,0,0,2
02,Baja California,004,Tijuana,2020,Julio,0,1,0,1
02,Baja California,004,Tijuana,2020,Agosto,0,1,2,3
02,Baja California,004,Tijuana,2020,Octubre,0,0,4,4
02,Baja California,004,Tijuana,2020,Noviembre,1,0,2,3
02,Baja California,004,Tijuana,2020,Diciembre,1,0,0,1
02,Baja California,004,Tijuana,2021,Enero,1,0,0,1
02,Baja California,004,Tijuana,2021,Febrero,2,0,1,3
02,Baja California,004,Tijuana,2021,Marzo,2,0,0,2
02,Baja California,004,Tijuana,2021,Abril,4,0,0,4
02,Baja California,004,Tijuana,2021,Mayo,1,0,0,1
02,Baja California,004,Tijuana,2021,Junio,5,1,3,9
02,Baja California,004,Tijuana,2021,Julio,5,0,0,5
02,Baja California,004,Tijuana,2021,Agosto,5,2,0,7
02,Baja California,004,Tijuana,2021,Septiembre,7,0,0,7
02,Baja California,004,Tijuana,2021,Octubre,12,0,7,19
02,Baja California,004,Tijuana,2021,Noviembre,11,2,1,14
02,Baja California,004,Tijuana,2021,Diciembre,23,5,1,29
02,Baja California,004,Tijuana,2022,Enero,126,24,7,157
02,Baja California,004,Tijuana,2022,Febrero,111,14,7,132
02,Baja California,004,Tijuana,2022,Marzo,88,11,8,107
02,Baja California,004,Tijuana,2022,Abril,120,22,9,151
02,Baja California,004,Tijuana,2022,Mayo,164,19,7,190
02,Baja California,004,Tijuana,2022,Junio,185,27,25,237
02,Baja California,004,Tijuana,2022,Julio,145,26,8,179
02,Baja California,004,Tijuana,2022,Agosto,167,18,14,199
02,Baja California,004,Tijuana,2022,Septiembre,164,18,0,182
02,Baja California,004,Tijuana,2022,Octubre,154,7,5,166
02,Baja California,004,Tijuana,2022,Noviembre,157,23,8,188
02,Baja California,004,Tijuana,2022,Diciembre,161,21,1,183
02,Baja California,004,Tijuana,2022,No especificado,2,0,0,2
02,Baja California,005,Playas de Rosarito,2021,Noviembre,2,0,0,2
02,Baja California,005,Playas de Rosarito,2021,Diciembre,3,0,0,3
02,Baja California,005,Playas de Rosarito,2022,Enero,13,1,0,14
02,Baja California,005,Playas de Rosarito,2022,Febrero,9,0,0,9
02,Baja California,005,Playas de Rosarito,2022,Marzo,11,2,1,14
02,Baja California,005,Playas de Rosarito,2022,Abril,5,0,0,5
02,Baja California,005,Playas de Rosarito,2022,Mayo,3,0,0,3
02,Baja California,005,Playas de Rosarito,2022,Junio,4,0,0,4
02,Baja California,005,Playas de Rosarito,2022,Julio,11,1,0,12
02,Baja California,005,Playas de Rosarito,2022,Agosto,1,0,0,1
02,Baja California,005,Playas de Rosarito,2022,Septiembre,6,2,0,8
02,Baja California,005,Playas de Rosarito,2022,Octubre,8,1,0,9
02,Baja California,005,Playas de Rosarito,2022,Noviembre,4,0,0,4
02,Baja California,005,Playas de Rosarito,2022,Diciembre,11,0,0,11
02,Baja California,006,San Quintín,2019,Diciembre,1,0,0,1
02,Baja California,006,San Quintín,2020,Julio,1,1,0,2
02,Baja California,006,San Quintín,2021,Marzo,2,0,0,2
02,Baja California,006,San Quintín,2021,Abril,1,0,0,1
02,Baja California,006,San Quintín,2021,Octubre,1,0,0,1
02,Baja California,006,San Quintín,2022,Enero,1,0,0,1
02,Baja California,006,San Quintín,2022,Febrero,1,0,0,1
02,Baja California,006,San Quintín,2022,Marzo,2,0,0,2
02,Baja California,006,San Quintín,2022,Mayo,1,1,0,2
02,Baja California,006,San Quintín,2022,Julio,2,0,0,2
02,Baja California,006,San Quintín,2022,Agosto,1,0,0,1
02,Baja California,006,San Quintín,2022,Septiembre,1,0,0,1
02,Baja California,006,San Quintín,2022,Octubre,3,0,0,3
02,Baja California,006,San Quintín,2022,Noviembre,1,0,0,1
02,Baja California,007,San Felipe,2022,Marzo,1,0,0,1
02,Baja California,007,San Felipe,2022,Abril,1,0,0,1
02,Baja California,007,San Felipe,2022,Mayo,1,0,0,1
02,Baja California,007,San Felipe,2022,Julio,2,0,0,2
02,Baja California,007,San Felipe,2022,Septiembre,2,0,0,2
02,Baja California,007,San Felipe,2022,Octubre,2,0,0,2
02,Baja California,007,San Felipe,2022,Noviembre,2,0,0,2
02,Baja California,999,No especificado,2019,Agosto,0,0,1,1
02,Baja California,999,No especificado,2020,Diciembre,1,0,0,1
02,Baja California,999,No especificado,2021,Junio,1,0,0,1
02,Baja California,999,No especificado,2022,Febrero,2,0,0,2
02,Baja California,999,No especificado,2022,Marzo,58,15,0,73
02,Baja California,999,No especificado,2022,Abril,2,0,0,2
02,Baja California,999,No especificado,2022,Junio,2,0,0,2
02,Baja California,999,No especificado,2022,Julio,1,0,0,1
02,Baja California,999,No especificado,2022,Septiembre,1,0,0,1
02,Baja California,999,No especificado,2022,Octubre,1,0,0,1
03,Baja California Sur,001,Comondú,2022,Febrero,0,1,0,1
03,Baja California Sur,001,Comondú,2022,Julio,1,0,0,1
03,Baja California Sur,001,Comondú,2022,Agosto,1,0,0,1
03,Baja California Sur,001,Comondú,2022,Septiembre,2,0,0,2
03,Baja California Sur,001,Comondú,2022,Diciembre,1,0,0,1
03,Baja California Sur,001,Comondú,No especificado,No especificado,11,4,0,15
03,Baja California Sur,002,Mulegé,2022,Enero,1,0,0,1
03,Baja California Sur,002,Mulegé,2022,Marzo,1,0,0,1
03,Baja California Sur,002,Mulegé,2022,Junio,2,1,0,3
03,Baja California Sur,002,Mulegé,2022,Septiembre,1,0,0,1
03,Baja California Sur,002,Mulegé,No especificado,No especificado,1,0,0,1
03,Baja California Sur,003,La Paz,2022,Enero,1,1,0,2
03,Baja California Sur,003,La Paz,2022,Febrero,3,0,0,3
03,Baja California Sur,003,La Paz,2022,Marzo,1,0,0,1
03,Baja California Sur,003,La Paz,2022,Mayo,1,0,0,1
03,Baja California Sur,003,La Paz,2022,Junio,1,0,0,1
03,Baja California Sur,003,La Paz,2022,Julio,0,1,0,1
03,Baja California Sur,003,La Paz,2022,Agosto,2,0,0,2
03,Baja California Sur,003,La Paz,2022,Septiembre,0,1,0,1
03,Baja California Sur,003,La Paz,2022,Octubre,1,0,0,1
03,Baja California Sur,003,La Paz,2022,Noviembre,1,0,0,1
03,Baja California Sur,003,La Paz,2022,Diciembre,2,0,0,2
03,Baja California Sur,003,La Paz,No especificado,No especificado,4,0,0,4
03,Baja California Sur,008,Los Cabos,2021,Junio,0,1,0,1
03,Baja California Sur,008,Los Cabos,2022,Enero,2,0,0,2
03,Baja California Sur,008,Los Cabos,2022,Abril,2,0,0,2
03,Baja California Sur,008,Los Cabos,2022,Mayo,1,0,0,1
03,Baja California Sur,008,Los Cabos,2022,Junio,2,1,0,3
03,Baja California Sur,008,Los Cabos,2022,Julio,1,0,0,1
03,Baja California Sur,008,Los Cabos,2022,Agosto,1,0,0,1
03,Baja California Sur,008,Los Cabos,2022,Septiembre,2,0,0,2
03,Baja California Sur,008,Los Cabos,2022,Octubre,0,1,0,1
03,Baja California Sur,008,Los Cabos,2022,Diciembre,2,0,0,2
03,Baja California Sur,008,Los Cabos,No especificado,No especificado,15,1,0,16
03,Baja California Sur,999,No especificado,2022,Abril,0,1,0,1
04,Campeche,002,Campeche,2017,Octubre,1,0,0,1
04,Campeche,002,Campeche,2022,Enero,1,0,0,1
04,Campeche,002,Campeche,2022,Febrero,1,1,0,2
04,Campeche,002,Campeche,2022,Marzo,2,0,0,2
04,Campeche,002,Campeche,2022,Abril,1,0,0,1
04,Campeche,002,Campeche,2022,Mayo,5,1,0,6
04,Campeche,002,Campeche,2022,Junio,2,0,0,2
04,Campeche,002,Campeche,2022,Julio,1,2,0,3
04,Campeche,002,Campeche,2022,Septiembre,1,0,0,1
04,Campeche,002,Campeche,2022,Octubre,2,0,0,2
04,Campeche,002,Campeche,2022,Noviembre,5,0,0,5
04,Campeche,002,Campeche,2022,Diciembre,7,0,0,7
04,Campeche,003,Carmen,2022,Febrero,2,0,0,2
04,Campeche,003,Carmen,2022,Marzo,1,0,0,1
04,Campeche,003,Carmen,2022,Mayo,2,3,0,5
04,Campeche,003,Carmen,2022,Junio,2,0,0,2
04,Campeche,003,Carmen,2022,Julio,2,0,0,2
04,Campeche,003,Carmen,2022,Octubre,4,0,0,4
04,Campeche,003,Carmen,2022,Noviembre,4,0,0,4
04,Campeche,003,Carmen,2022,Diciembre,1,1,0,2
04,Campeche,004,Champotón,2022,Marzo,1,0,0,1
04,Campeche,004,Champotón,2022,Julio,1,0,0,1
04,Campeche,004,Champotón,2022,Septiembre,4,0,0,4
04,Campeche,004,Champotón,2022,Octubre,1,0,0,1
04,Campeche,004,Champotón,2022,Diciembre,1,0,0,1
04,Campeche,006,Hopelchén,2022,Noviembre,1,0,0,1
04,Campeche,009,Escárcega,2022,Febrero,2,0,0,2
04,Campeche,009,Escárcega,2022,Junio,3,0,0,3
04,Campeche,009,Escárcega,2022,Julio,1,0,0,1
04,Campeche,009,Escárcega,2022,Diciembre,1,0,0,1
04,Campeche,010,Calakmul,2022,Junio,1,1,0,2
04,Campeche,010,Calakmul,2022,Septiembre,1,0,0,1
04,Campeche,011,Candelaria,2022,Enero,6,2,0,8
04,Campeche,011,Candelaria,2022,Abril,1,0,0,1
04,Campeche,011,Candelaria,2022,Mayo,1,0,0,1
04,Campeche,011,Candelaria,2022,Junio,1,0,0,1
04,Campeche,011,Candelaria,2022,Agosto,0,1,0,1
04,Campeche,011,Candelaria,2022,Noviembre,2,0,0,2
04,Campeche,013,Dzitbalché,2022,Noviembre,1,0,0,1
04,Campeche,999,No especificado,2022,Octubre,1,0,0,1
04,Campeche,999,No especificado,2022,Diciembre,3,0,0,3
05,Coahuila de Zaragoza,002,Acuña,2021,Diciembre,1,0,0,1
05,Coahuila de Zaragoza,002,Acuña,2022,Febrero,1,0,0,1
05,Coahuila de Zaragoza,002,Acuña,2022,Mayo,1,0,0,1
05,Coahuila de Zaragoza,002,Acuña,2022,Junio,1,0,0,1
05,Coahuila de Zaragoza,003,Allende,2021,Julio,1,0,0,1
05,Coahuila de Zaragoza,003,Allende,2022,Febrero,1,0,0,1
05,Coahuila de Zaragoza,003,Allende,2022,Abril,1,0,0,1
05,Coahuila de Zaragoza,004,Arteaga,2022,Noviembre,1,0,0,1
05,Coahuila de Zaragoza,006,Castaños,2022,Abril,1,0,0,1
05,Coahuila de Zaragoza,006,Castaños,2022,Mayo,1,0,0,1
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,2022,Julio,1,0,0,1
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,2022,Diciembre,1,0,0,1
05,Coahuila de Zaragoza,009,Francisco I. Madero,2022,Febrero,1,0,0,1
05,Coahuila de Zaragoza,009,Francisco I. Madero,2022,Septiembre,1,0,0,1
05,Coahuila de Zaragoza,010,Frontera,2022,Julio,2,0,0,2
05,Coahuila de Zaragoza,012,Guerrero,2022,Octubre,1,0,0,1
05,Coahuila de Zaragoza,017,Matamoros,2022,Enero,0,1,0,1
05,Coahuila de Zaragoza,017,Matamoros,2022,Mayo,1,0,0,1
05,Coahuila de Zaragoza,017,Matamoros,2022,Julio,1,0,0,1
05,Coahuila de Zaragoza,017,Matamoros,2022,Agosto,2,0,0,2
05,Coahuila de Zaragoza,017,Matamoros,2022,Septiembre,4,0,0,4
05,Coahuila de Zaragoza,017,Matamoros,2022,Octubre,1,0,0,1
05,Coahuila de Zaragoza,018,Monclova,2020,Diciembre,1,0,0,1
05,Coahuila de Zaragoza,018,Monclova,2022,Febrero,1,0,0,1
05,Coahuila de Zaragoza,018,Monclova,2022,Julio,2,0,0,2
05,Coahuila de Zaragoza,018,Monclova,2022,Octubre,2,0,0,2
05,Coahuila de Zaragoza,018,Monclova,2022,Diciembre,1,0,0,1
05,Coahuila de Zaragoza,022,Nava,2022,Septiembre,1,0,0,1
05,Coahuila de Zaragoza,023,Ocampo,2022,Junio,0,1,0,1
05,Coahuila de Zaragoza,024,Parras,2022,Abril,0,1,0,1
05,Coahuila de Zaragoza,024,Parras,2022,Agosto,0,1,0,1
05,Coahuila de Zaragoza,024,Parras,2022,Septiembre,1,0,0,1
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Enero,1,0,0,1
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Marzo,2,0,0,2
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Abril,3,1,0,4
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Junio,0,1,0,1
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Julio,2,0,0,2
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Agosto,0,1,0,1
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Octubre,3,0,0,3
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Noviembre,1,0,0,1
05,Coahuila de Zaragoza,025,Piedras Negras,2022,Diciembre,1,0,0,1
05,Coahuila de Zaragoza,027,Ramos Arizpe,2021,Abril,1,0,0,1
05,Coahuila de Zaragoza,027,Ramos Arizpe,2022,Enero,1,0,0,1
05,Coahuila de Zaragoza,027,Ramos Arizpe,2022,Marzo,1,0,0,1
05,Coahuila de Zaragoza,027,Ramos Arizpe,2022,Junio,2,0,0,2
05,Coahuila de Zaragoza,027,Ramos Arizpe,2022,Septiembre,1,0,0,1
05,Coahuila de Zaragoza,028,Sabinas,2021,Noviembre,1,0,0,1
05,Coahuila de Zaragoza,028,Sabinas,2022,Enero,1,0,0,1
05,Coahuila de Zaragoza,028,Sabinas,2022,Noviembre,1,0,0,1
05,Coahuila de Zaragoza,028,Sabinas,2022,Diciembre,2,0,0,2
05,Coahuila de Zaragoza,030,Saltillo,2021,Diciembre,0,1,0,1
05,Coahuila de Zaragoza,030,Saltillo,2022,Enero,3,0,0,3
05,Coahuila de Zaragoza,030,Saltillo,2022,Febrero,2,1,0,3
05,Coahuila de Zaragoza,030,Saltillo,2022,Marzo,4,0,0,4
05,Coahuila de Zaragoza,030,Saltillo,2022,Abril,1,0,0,1
05,Coahuila de Zaragoza,030,Saltillo,2022,Mayo,5,1,0,6
05,Coahuila de Zaragoza,030,Saltillo,2022,Junio,1,0,0,1
05,Coahuila de Zaragoza,030,Saltillo,2022,Julio,7,0,0,7
05,Coahuila de Zaragoza,030,Saltillo,2022,Agosto,2,0,0,2
05,Coahuila de Zaragoza,030,Saltillo,2022,Septiembre,4,0,0,4
05,Coahuila de Zaragoza,030,Saltillo,2022,Octubre,2,1,0,3
05,Coahuila de Zaragoza,030,Saltillo,2022,Noviembre,2,0,0,2
05,Coahuila de Zaragoza,030,Saltillo,2022,Diciembre,3,0,0,3
05,Coahuila de Zaragoza,032,San Juan de Sabinas,2022,Marzo,1,0,0,1
05,Coahuila de Zaragoza,032,San Juan de Sabinas,2022,Septiembre,1,0,0,1
05,Coahuila de Zaragoza,032,San Juan de Sabinas,2022,Noviembre,0,1,0,1
05,Coahuila de Zaragoza,033,San Pedro,2022,Febrero,1,1,0,2
05,Coahuila de Zaragoza,033,San Pedro,2022,Marzo,1,0,0,1
05,Coahuila de Zaragoza,033,San Pedro,2022,Mayo,1,0,0,1
05,Coahuila de Zaragoza,033,San Pedro,2022,Septiembre,2,1,0,3
05,Coahuila de Zaragoza,033,San Pedro,2022,Octubre,1,0,0,1
05,Coahuila de Zaragoza,033,San Pedro,2022,Diciembre,2,0,0,2
05,Coahuila de Zaragoza,035,Torreón,2019,Julio,1,0,0,1
05,Coahuila de Zaragoza,035,Torreón,2021,Agosto,0,1,0,1
05,Coahuila de Zaragoza,035,Torreón,2021,Diciembre,0,1,0,1
05,Coahuila de Zaragoza,035,Torreón,2022,Enero,4,0,0,4
05,Coahuila de Zaragoza,035,Torreón,2022,Febrero,1,0,0,1
05,Coahuila de Zaragoza,035,Torreón,2022,Marzo,2,1,0,3
05,Coahuila de Zaragoza,035,Torreón,2022,Abril,6,1,0,7
05,Coahuila de Zaragoza,035,Torreón,2022,Mayo,1,0,0,1
05,Coahuila de Zaragoza,035,Torreón,2022,Junio,5,1,0,6
05,Coahuila de Zaragoza,035,Torreón,2022,Julio,2,0,0,2
05,Coahuila de Zaragoza,035,Torreón,2022,Agosto,1,1,0,2
05,Coahuila de Zaragoza,035,Torreón,2022,Septiembre,1,0,0,1
05,Coahuila de Zaragoza,035,Torreón,2022,Octubre,1,1,0,2
05,Coahuila de Zaragoza,035,Torreón,2022,Noviembre,3,1,0,4
05,Coahuila de Zaragoza,035,Torreón,2022,Diciembre,1,0,0,1
05,Coahuila de Zaragoza,036,Viesca,2022,Enero,0,1,0,1
05,Coahuila de Zaragoza,038,Zaragoza,2021,Marzo,1,0,0,1
05,Coahuila de Zaragoza,999,No especificado,2022,Agosto,1,0,0,1
06,Colima,001,Armería,2021,Diciembre,1,0,0,1
06,Colima,001,Armería,2022,Enero,1,0,0,1
06,Colima,001,Armería,2022,Marzo,3,0,0,3
06,Colima,001,Armería,2022,Abril,3,0,0,3
06,Colima,001,Armería,2022,Mayo,1,0,0,1
06,Colima,001,Armería,2022,Junio,2,1,0,3
06,Colima,001,Armería,2022,Julio,3,0,0,3
06,Colima,001,Armería,2022,Septiembre,1,1,0,2
06,Colima,001,Armería,2022,Noviembre,2,0,0,2
06,Colima,001,Armería,2022,Diciembre,1,0,0,1
06,Colima,002,Colima,2021,Abril,1,0,0,1
06,Colima,002,Colima,2021,Julio,1,0,0,1
06,Colima,002,Colima,2021,Agosto,1,0,0,1
06,Colima,002,Colima,2021,Noviembre,1,0,0,1
06,Colima,002,Colima,2021,Diciembre,1,0,0,1
06,Colima,002,Colima,2022,Enero,19,0,0,19
06,Colima,002,Colima,2022,Febrero,31,1,0,32
06,Colima,002,Colima,2022,Marzo,39,4,0,43
06,Colima,002,Colima,2022,Abril,22,6,0,28
06,Colima,002,Colima,2022,Mayo,29,6,0,35
06,Colima,002,Colima,2022,Junio,17,5,0,22
06,Colima,002,Colima,2022,Julio,18,4,0,22
06,Colima,002,Colima,2022,Agosto,21,2,0,23
06,Colima,002,Colima,2022,Septiembre,23,4,0,27
06,Colima,002,Colima,2022,Octubre,30,1,0,31
06,Colima,002,Colima,2022,Noviembre,18,2,0,20
06,Colima,002,Colima,2022,Diciembre,28,5,0,33
06,Colima,002,Colima,No especificado,No especificado,4,0,0,4
06,Colima,003,Comala,2022,Febrero,1,0,0,1
06,Colima,003,Comala,2022,Marzo,3,0,0,3
06,Colima,003,Comala,2022,Abril,3,0,0,3
06,Colima,003,Comala,2022,Mayo,5,0,0,5
06,Colima,003,Comala,2022,Junio,3,0,0,3
06,Colima,003,Comala,2022,Julio,1,0,0,1
06,Colima,003,Comala,2022,Agosto,3,0,0,3
06,Colima,003,Comala,2022,Septiembre,3,0,0,3
06,Colima,003,Comala,2022,Diciembre,2,0,0,2
06,Colima,004,Coquimatlán,2022,Febrero,1,0,0,1
06,Colima,004,Coquimatlán,2022,Marzo,3,0,0,3
06,Colima,004,Coquimatlán,2022,Abril,5,0,0,5
06,Colima,004,Coquimatlán,2022,Mayo,5,0,0,5
06,Colima,004,Coquimatlán,2022,Junio,2,1,0,3
06,Colima,004,Coquimatlán,2022,Julio,3,0,0,3
06,Colima,004,Coquimatlán,2022,Septiembre,1,0,0,1
06,Colima,004,Coquimatlán,No especificado,No especificado,1,0,0,1
06,Colima,005,Cuauhtémoc,2020,Octubre,1,0,0,1
06,Colima,005,Cuauhtémoc,2021,Noviembre,1,0,0,1
06,Colima,005,Cuauhtémoc,2022,Enero,6,0,0,6
06,Colima,005,Cuauhtémoc,2022,Febrero,1,0,0,1
06,Colima,005,Cuauhtémoc,2022,Marzo,6,0,0,6
06,Colima,005,Cuauhtémoc,2022,Mayo,1,0,0,1
06,Colima,005,Cuauhtémoc,2022,Junio,1,0,0,1
06,Colima,005,Cuauhtémoc,2022,Agosto,2,0,0,2
06,Colima,005,Cuauhtémoc,No especificado,No especificado,1,0,0,1
06,Colima,006,Ixtlahuacán,2020,Diciembre,0,1,0,1
06,Colima,006,Ixtlahuacán,2022,Marzo,1,0,0,1
06,Colima,006,Ixtlahuacán,2022,Junio,1,0,0,1
06,Colima,006,Ixtlahuacán,2022,Septiembre,2,0,0,2
06,Colima,007,Manzanillo,2022,Enero,12,1,0,13
06,Colima,007,Manzanillo,2022,Febrero,9,0,0,9
06,Colima,007,Manzanillo,2022,Marzo,4,1,0,5
06,Colima,007,Manzanillo,2022,Abril,4,1,0,5
06,Colima,007,Manzanillo,2022,Mayo,12,3,0,15
06,Colima,007,Manzanillo,2022,Junio,10,3,0,13
06,Colima,007,Manzanillo,2022,Julio,4,0,0,4
06,Colima,007,Manzanillo,2022,Agosto,9,2,0,11
06,Colima,007,Manzanillo,2022,Septiembre,4,1,0,5
06,Colima,007,Manzanillo,2022,Octubre,13,5,0,18
06,Colima,007,Manzanillo,2022,Noviembre,18,0,0,18
06,Colima,007,Manzanillo,2022,Diciembre,9,0,0,9
06,Colima,007,Manzanillo,No especificado,No especificado,1,0,0,1
06,Colima,008,Minatitlán,2022,Febrero,1,0,0,1
06,Colima,008,Minatitlán,2022,Marzo,2,0,0,2
06,Colima,008,Minatitlán,2022,Abril,1,0,0,1
06,Colima,008,Minatitlán,2022,Mayo,1,0,0,1
06,Colima,008,Minatitlán,2022,Noviembre,2,0,0,2
06,Colima,009,Tecomán,2019,Septiembre,1,0,0,1
06,Colima,009,Tecomán,2021,Junio,1,0,0,1
06,Colima,009,Tecomán,2021,Agosto,1,0,0,1
06,Colima,009,Tecomán,2022,Febrero,1,1,0,2
06,Colima,009,Tecomán,2022,Marzo,3,1,0,4
06,Colima,009,Tecomán,2022,Abril,3,0,0,3
06,Colima,009,Tecomán,2022,Mayo,6,1,0,7
06,Colima,009,Tecomán,2022,Junio,3,0,0,3
06,Colima,009,Tecomán,2022,Julio,1,0,0,1
06,Colima,009,Tecomán,2022,Agosto,6,0,0,6
06,Colima,009,Tecomán,2022,Septiembre,4,0,0,4
06,Colima,009,Tecomán,2022,Octubre,2,0,0,2
